song_title,artist,genre,id,beatmap_id,date_started,date_ended,accuracy,max_combo_player,max_combo_beatmap,is_perfect_combo,passed,max_great,great,ok,meh,miss,ar,cs,bpm,hit_length,count_circles,count_sliders,count_spinners,difficulty_rating,beatmap_type,played_before
Doki-Doki,Thaehan,Electronic,6191509651,2469254,2026-02-09 13:24:15+08:00,2026-02-09 13:26:05+08:00,89.73,259,887,False,True,592,488,96,3,5,9.0,4.0,180.0,102,404,187,1,5.16415,Stream,False
Hatsune Miku no Shoushitsu,cosMo@BousouP feat.Hatsune Miku,Rock,6191524830,321336,2026-02-09 13:28:18+08:00,2026-02-09 13:32:37+08:00,93.71,544,1756,False,True,848,757,76,2,13,9.0,4.0,240.0,206,432,414,2,5.79673,Stream,True
Tower Of Heaven (You Are Slaves),Feint,Electronic,6191533113,845391,2026-02-09 13:33:28+08:00,2026-02-09 13:36:17+08:00,83.48,214,1282,False,True,927,682,190,30,25,9.2,4.0,175.0,155,611,315,1,6.14043,Stream,True
Necro Fantasia,MISATO,Video Game,6191548226,1328726,2026-02-09 13:40:15+08:00,2026-02-09 13:42:47+08:00,96.84,278,734,False,True,485,459,20,1,5,9.0,3.8,175.0,136,243,241,1,4.89455,Jump,True
The Noise of Rain,Kino Hiko,Rock,6191572918,1363850,2026-02-09 13:49:30+08:00,2026-02-09 13:53:11+08:00,92.34,269,1271,False,True,837,738,64,6,29,9.0,4.0,204.0,202,422,415,0,5.47732,Jump,False
Undercover Martyn,Two Door Cinema Club,Rock,6191581836,2831663,2026-02-09 13:54:10+08:00,2026-02-09 13:56:55+08:00,97.85,653,765,False,True,580,560,17,,3,9.0,4.0,159.87,135,405,173,2,4.79895,Jump,False
Kako ni Torawarete Iru,TUYU,Pop,6191593646,2593880,2026-02-09 13:57:52+08:00,2026-02-09 14:01:43+08:00,96.26,1039,1238,False,True,852,795,55,1,1,9.2,4.0,180.0,210,508,344,0,5.53972,Hybrid,False
Happy Time wa Owaranai,Nanamori-chu * Goraku-bu,Anime,6191602676,713594,2026-02-09 14:03:19+08:00,2026-02-09 14:05:32+08:00,94.19,220,748,False,True,577,530,30,1,16,9.3,4.0,190.0,124,410,165,2,5.81154,Jump,False
Bye Bye YESTERDAY,3 Nen E Gumi Utatan (Nagisa & Kayano & Karuma & Isogai & Maehara),Anime,6191608566,1026729,2026-02-09 14:06:26+08:00,2026-02-09 14:08:02+08:00,98.38,307,557,False,True,373,364,5,,4,9.3,4.0,180.0,91,222,151,0,5.36405,Jump,False
Aimai Elegy,96neko,Rock,6191620233,1261914,2026-02-09 14:10:05+08:00,2026-02-09 14:12:55+08:00,86.2,120,1050,False,True,739,585,104,8,42,9.2,4.5,210.0,166,453,285,1,6.2877,Jump,False
Monochrome Butterfly,Aitsuki Nakuru,Rock,6191626055,1621068,2026-02-09 14:13:45+08:00,2026-02-09 14:15:19+08:00,93.5,261,471,False,True,377,342,21,3,11,9.2,3.8,175.0,86,285,91,1,5.64136,Jump,False
Cold Green Eyes ft. Roos Denayer,Station Earth,Electronic,6191633987,814293,2026-02-09 14:16:34+08:00,2026-02-09 14:18:42+08:00,99.01,242,562,False,True,396,390,4,,2,9.2,4.0,174.0,121,240,152,4,4.93542,Jump,True
Eyes Half Closed,Crywolf,Electronic,6191641253,1046830,2026-02-09 14:19:15+08:00,2026-02-09 14:21:46+08:00,91.07,376,531,False,True,399,344,42,1,12,9.5,4.0,135.0,131,271,127,1,5.27903,Jump,True
Remote Control,kradness&Reol,Electronic,6191654728,774965,2026-02-09 14:22:12+08:00,2026-02-09 14:27:24+08:00,94.58,415,1774,False,True,1173,1069,79,6,19,9.2,4.0,165.0,295,693,479,1,5.68253,Jump,True
Now Loading!!!!,fourfolium,Anime,6191664516,1026666,2026-02-09 14:30:03+08:00,2026-02-09 14:31:35+08:00,94.62,123,514,False,True,375,346,15,1,13,9.3,4.0,193.0,87,239,135,1,5.85206,Jump,False
Tomodachi no Uta,Kurahashi Yoeko,Pop,6191672146,1659553,2026-02-09 14:32:58+08:00,2026-02-09 14:34:57+08:00,89.27,268,579,False,True,466,396,51,,19,9.5,4.1,200.0,112,389,77,0,5.57964,Jump,False
Whatever I Do (feat. Kostja),Cartoon,Electronic,6191687486,815071,2026-02-09 14:35:19+08:00,2026-02-09 14:41:30+08:00,95.15,152,402,False,True,282,261,15,,6,9.2,4.2,174.0,93,190,89,3,5.14767,Jump,True
pensamento tipico de esquerda caviar,Maffalda,Hip Hop,6191696398,422328,2026-02-09 14:43:13+08:00,2026-02-09 14:45:14+08:00,91.12,101,535,False,True,360,318,11,6,25,9.0,4.0,157.1,112,208,149,3,5.8496,Jump,True
Asu no Yozora Shoukaihan,Yuaru,Rock,6191723242,840686,2026-02-09 14:53:53+08:00,2026-02-09 14:56:50+08:00,94.61,189,1099,False,True,800,736,41,7,16,9.3,4.0,185.0,158,524,275,1,5.62037,Hybrid,False
We Won't Be Alone (feat. Laura Brehm),Feint,Electronic,6191740416,869142,2026-02-09 15:02:43+08:00,2026-02-09 15:04:21+08:00,95.44,152,450,False,True,349,325,18,,6,9.0,4.3,175.0,88,257,90,2,5.36164,Hybrid,False
Additional Memory,JIN,Rock,6191746053,1775286,2026-02-09 15:04:59+08:00,2026-02-09 15:06:50+08:00,94.6,306,694,False,True,503,462,29,2,10,9.3,4.0,200.0,105,328,175,0,5.81822,Hybrid,False
HIBANA feat. Hatsune Miku,DECO*27,Rock,6191764222,1501684,2026-02-09 15:11:23+08:00,2026-02-09 15:14:50+08:00,95.68,275,1214,False,True,809,757,29,3,20,9.2,4.0,200.0,181,453,354,2,5.59793,Hybrid,False
Super Nuko World,yuikonnu & ayaponzu*,Rock,6191777494,386728,2026-02-09 15:17:57+08:00,2026-02-09 15:20:46+08:00,89.21,267,1739,False,False,1365,884,124,11,31,9.0,4.0,190.0,218,1031,334,0,5.84324,Stream,False
Guitar to Kodoku to Aoi Hoshi,kessoku band,Rock,6191788621,3910756,2026-02-09 15:21:41+08:00,2026-02-09 15:25:42+08:00,88.36,195,1308,False,True,894,721,139,10,24,9.4,4.0,193.0,193,512,381,1,5.99133,Hybrid,False
Try Again,USAO,Electronic,6191825691,1688458,2026-02-09 15:37:01+08:00,2026-02-09 15:42:11+08:00,90.03,208,2153,False,True,1276,1080,137,11,48,9.3,3.8,170.0,305,637,637,2,5.73737,Hybrid,True
Hoohah (VIP Edit),Fox Stevenson & Curbi,Electronic,6191832522,1295253,2026-02-09 15:43:41+08:00,2026-02-09 15:45:14+08:00,93.27,143,486,False,True,349,317,19,2,11,9.2,4.0,174.0,81,221,127,1,5.19241,Jump,True
Reizouko Mitara Pudding ga Nai,bibuko,Rock,6191840758,256840,2026-02-09 15:46:50+08:00,2026-02-09 15:48:51+08:00,91.57,111,829,False,True,613,542,47,2,22,9.0,4.0,190.0,113,463,149,1,6.04401,Hybrid,False
Airplanes (Feint Remix),B.o.B feat. Hayley Williams,Electronic,6191851729,230523,2026-02-09 15:49:52+08:00,2026-02-09 15:53:41+08:00,97.85,218,1093,False,True,793,767,18,,8,9.0,4.0,178.0,200,519,271,3,5.33226,Hybrid,True
Seishun Complex,kessoku band,Anime,6191862499,3862295,2026-02-09 15:55:05+08:00,2026-02-09 15:58:28+08:00,92.12,299,1263,False,True,924,802,109,5,8,9.3,4.0,190.0,194,595,328,1,5.77489,Hybrid,True
United (L.A.O.S Remix),Our Stolen Theory,Electronic,6191879673,550235,2026-02-09 16:00:31+08:00,2026-02-09 16:05:55+08:00,90.43,246,2275,False,True,1758,1513,169,36,40,9.2,4.0,175.0,300,1338,416,4,6.08624,Hybrid,True
Show,Ado,Pop,6192875212,4374730,2026-02-09 21:35:07+08:00,2026-02-09 21:38:53+08:00,86.59,108,948,False,True,635,502,94,10,29,9.2,4.2,132.0,184,379,254,2,4.71511,Tech,False
Wakusei Rabbit (feat. TORIENA),Yunomi,Electronic,6192891570,1139789,2026-02-09 21:41:04+08:00,2026-02-09 21:42:51+08:00,87.84,250,1422,False,False,1003,452,69,9,21,9.2,4.2,174.0,187,643,360,0,5.87497,Tech,False
Dynamite (Extended Mix),USAO,Video Game,6192907197,990396,2026-02-09 21:45:16+08:00,2026-02-09 21:46:40+08:00,82.35,170,1960,False,False,1167,257,71,15,22,9.6,4.0,200.0,234,431,736,0,6.16276,Tech,False
Spring Signal,yuki.,Electronic,6192923778,1513223,2026-02-09 21:49:12+08:00,2026-02-09 21:50:35+08:00,83.64,158,952,False,False,683,312,61,12,21,9.2,3.5,185.0,125,432,247,4,5.89412,Tech,False
Sunset Tea Cup,YUC'e,Electronic,6192934728,1347099,2026-02-09 21:50:51+08:00,2026-02-09 21:53:12+08:00,83.33,314,1241,False,False,698,419,76,14,34,9.3,4.2,160.0,168,282,416,0,5.89003,Tech,False
TRIPLE PLAY,KASAI HARCORES,Electronic,6192954756,1477910,2026-02-09 21:54:29+08:00,2026-02-09 21:57:59+08:00,88.82,187,1770,False,False,1058,746,104,13,42,9.5,3.8,175.0,238,493,565,0,5.94715,Tech,True
Future Candy,YUC'e,Electronic,6192972668,1521481,2026-02-09 21:59:03+08:00,2026-02-09 22:02:13+08:00,93.31,351,1218,False,True,755,671,70,3,11,9.0,4.0,180.0,173,410,345,0,5.2298,Tech,True
CANDYYYLAND feat. LIZ (Pa's Lam System Remix),tofubeats,Electronic,6192996646,1418503,2026-02-09 22:04:27+08:00,2026-02-09 22:07:57+08:00,82.49,129,1181,False,True,744,544,139,22,39,9.3,4.0,160.0,188,337,401,6,6.06101,Tech,True
Aresene's Bazaar,James Landino,Electronic,6193011279,4091822,2026-02-09 22:08:39+08:00,2026-02-09 22:11:18+08:00,83.53,153,1058,False,True,648,475,131,16,26,9.0,3.5,155.0,143,269,379,0,5.24267,Tech,True
Cycle Hit,KASAI HARCORES,Electronic,6193040938,1351114,2026-02-09 22:12:46+08:00,2026-02-09 22:18:08+08:00,88.22,357,2375,False,True,1421,1163,175,28,55,9.5,3.8,175.0,301,777,643,1,6.02478,Tech,True
Everything Goes On (Star Guardian Version),Porter Robinson,Pop,6193101641,3705535,2026-02-09 22:29:32+08:00,2026-02-09 22:32:00+08:00,96.36,301,716,False,True,461,432,22,4,3,9.0,3.8,157.0,141,236,225,0,4.44744,Jump,False
The Pretender,Infected Mushroom,Rock,6193115741,229180,2026-02-09 22:33:07+08:00,2026-02-09 22:35:15+08:00,98.74,376,617,False,True,407,399,5,,3,9.0,4.0,174.0,122,217,188,2,4.73496,Jump,True
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Video Game,6193134956,345099,2026-02-09 22:35:50+08:00,2026-02-09 22:39:43+08:00,98.56,413,1238,False,True,885,866,11,2,6,9.0,4.0,175.0,216,573,309,3,5.33301,Hybrid,False
Haruka Mirai,Kankaku Piero,Rock,6193156490,2808980,2026-02-09 22:41:41+08:00,2026-02-09 22:44:41+08:00,92.66,295,928,False,True,628,551,66,4,7,9.0,4.3,182.0,157,353,274,1,5.25587,Hybrid,False
Discommunication Alien,Usada Pekora,Pop,6193174332,2671048,2026-02-09 22:45:17+08:00,2026-02-09 22:48:49+08:00,94.83,424,1206,False,True,865,795,59,1,10,9.0,4.5,170.0,207,541,324,0,5.07524,Jump,False
United (L.A.O.S Remix),Our Stolen Theory,Electronic,6193202121,550235,2026-02-09 22:49:46+08:00,2026-02-09 22:55:08+08:00,91.47,230,2275,False,True,1758,1541,150,21,46,9.2,4.0,175.0,300,1338,416,4,6.08624,Hybrid,True
Piranha (Maffalda Reloaded Trap Mix),Alipio Martins,Hip Hop,6196433330,649387,2026-02-10 13:18:20+08:00,2026-02-10 13:22:27+08:00,97.59,478,1048,False,True,691,663,24,,4,9.0,4.0,171.0,194,428,261,2,4.89523,Hybrid,True
Outer Science,Amatsuki,Electronic,6196443681,337873,2026-02-10 13:23:32+08:00,2026-02-10 13:26:41+08:00,98.16,345,1003,False,True,604,586,14,,4,9.0,4.0,195.0,163,331,273,0,4.91737,Jump,True
Reizouko Mitara Pudding ga Nai,bibuko,Rock,6196451033,256839,2026-02-10 13:27:41+08:00,2026-02-10 13:29:42+08:00,94.0,261,841,False,True,637,580,43,1,13,9.0,4.0,190.0,113,447,189,1,5.77635,Stream,True
Merry Merry Go Round,Chitose Sara,Video Game,6196459237,1003944,2026-02-10 13:31:20+08:00,2026-02-10 13:33:04+08:00,96.63,111,559,False,True,428,409,7,1,11,9.3,4.0,185.0,94,307,120,1,5.70941,Jump,False
Hatsune Miku no Shoushitsu,cosMo@BousouP feat.Hatsune Miku,Rock,6196471934,321336,2026-02-10 13:33:57+08:00,2026-02-10 13:38:16+08:00,93.93,452,1756,False,True,848,756,77,5,10,9.0,4.0,240.0,206,432,414,2,5.79673,Stream,True
Aimai Elegy,DECO*27 feat. marina,Rock,6196483489,136910,2026-02-10 13:40:09+08:00,2026-02-10 13:43:00+08:00,97.32,344,795,False,True,546,525,13,2,6,9.0,4.0,210.0,152,309,234,3,5.17541,Jump,False
Vagrant (feat. Veela),Feint,Electronic,6196619984,781370,2026-02-10 14:35:33+08:00,2026-02-10 14:38:38+08:00,96.59,198,512,False,True,346,327,14,2,3,9.0,4.0,175.0,102,189,157,0,4.89667,Hybrid,True
Now Loading!!!!,fourfolium,Anime,6196640896,1026666,2026-02-10 14:46:26+08:00,2026-02-10 14:47:21+08:00,94.74,242,514,False,False,375,192,7,,8,9.3,4.0,193.0,87,239,135,1,5.85206,Jump,False
Airman ga Taosenai (SOUND HOLIC Ver.),Hanatan,Video Game,6196653593,345099,2026-02-10 14:48:53+08:00,2026-02-10 14:52:45+08:00,97.94,362,1238,False,True,885,859,11,8,7,9.0,4.0,175.0,216,573,309,3,5.33301,Hybrid,True
Rubik's Cube,Hatsune Miku,Rock,6196662339,114635,2026-02-10 14:53:34+08:00,2026-02-10 14:56:27+08:00,95.08,250,1027,False,True,717,665,28,9,15,9.0,4.0,174.0,151,470,246,1,5.5304,Hybrid,True
The Pretender,Infected Mushroom,Rock,6196678833,221777,2026-02-10 14:57:22+08:00,2026-02-10 15:03:33+08:00,96.89,681,2388,False,True,1450,1379,49,11,11,9.0,4.0,174.0,364,854,593,3,5.78374,Hybrid,True
Stella-rium,Kano,Anime,6196694961,738606,2026-02-10 15:06:33+08:00,2026-02-10 15:10:39+08:00,98.97,1175,1175,True,True,800,785,15,,,9.0,4.0,177.0,230,468,329,3,4.97164,Stream,True
The Words I Never Said,Mage,Electronic,6196709462,3018109,2026-02-10 15:11:56+08:00,2026-02-10 15:17:02+08:00,82.42,1086,2376,False,True,1742,1246,427,54,15,9.2,3.9,172.0,295,1332,404,6,5.88379,Stream,False
Snow Drive(01.23),Omoi,Rock,6196734326,1088292,2026-02-10 15:19:43+08:00,2026-02-10 15:27:58+08:00,89.2,231,1664,False,True,968,791,122,23,32,9.2,4.0,224.0,228,378,590,0,5.86526,Stream,False
FREEDOM DiVE,xi,Video Game,6196763555,2352543,2026-02-10 15:36:25+08:00,2026-02-10 15:40:49+08:00,91.4,397,1776,False,True,968,816,128,6,18,9.0,4.0,222.22,218,424,542,2,5.32641,Stream,False
Doki-Doki,Thaehan,Electronic,6196779819,1191209,2026-02-10 15:46:14+08:00,2026-02-10 15:48:00+08:00,86.93,208,1000,False,True,746,597,128,5,16,9.3,4.0,180.0,102,593,153,0,5.85172,Stream,False
Hype feat. Such (lapix Remix),PSYQUI,Electronic,6196792737,1741093,2026-02-10 15:49:08+08:00,2026-02-10 15:53:48+08:00,81.82,829,2074,False,True,1331,928,335,34,34,9.2,4.0,175.0,254,663,666,2,5.69572,Hybrid,False
Ascension to Heaven,xi,Electronic,6196812904,2067141,2026-02-10 15:59:56+08:00,2026-02-10 16:02:37+08:00,78.92,533,1200,False,True,720,468,219,15,18,9.2,4.0,200.0,154,512,203,5,5.7734,Stream,False
Tower Of Heaven (You Are Slaves),Feint,Electronic,6196880252,845391,2026-02-10 16:28:30+08:00,2026-02-10 16:31:18+08:00,84.21,150,1282,False,True,927,696,184,14,33,9.2,4.0,175.0,155,611,315,1,6.14043,Stream,True
Remote Control,kradness&Reol,Electronic,6197941746,774965,2026-02-10 21:59:19+08:00,2026-02-10 22:04:31+08:00,95.03,458,1774,False,True,1173,1078,74,,21,9.2,4.0,165.0,295,693,479,1,5.68253,Jump,True
Say Goodbye,Krewella,Electronic,6197966355,959406,2026-02-10 22:06:33+08:00,2026-02-10 22:10:15+08:00,96.87,199,1034,False,True,753,721,13,,19,9.5,4.0,180.0,199,489,260,4,5.31257,Jump,True
Yubi Bouenkyou ~Anime-ban~,Nogizaka46,Anime,6197977065,1474946,2026-02-10 22:11:08+08:00,2026-02-10 22:12:39+08:00,98.95,200,473,False,True,354,349,2,,3,9.2,4.2,180.0,85,233,119,2,5.21646,Jump,True
Katayoku no Tori,Shikata Akiko,Anime,6197989088,1439489,2026-02-10 22:13:49+08:00,2026-02-10 22:15:22+08:00,87.55,403,549,False,True,353,275,66,3,9,9.3,4.0,220.0,89,160,193,0,5.46637,Jump,False
Yume Chizu,yuikonnu,Rock,6198008469,2237467,2026-02-10 22:18:01+08:00,2026-02-10 22:19:43+08:00,97.77,450,522,False,True,358,344,13,,1,9.2,3.8,176.0,97,209,149,0,5.18903,Jump,True
Plus Danshi ver Reol,Reol,Pop,6198046679,667685,2026-02-10 22:24:32+08:00,2026-02-10 22:28:10+08:00,97.36,836,1260,False,True,829,791,35,1,2,9.0,4.0,180.0,207,433,395,1,4.8931,Jump,True
No title,Reol,Pop,6198056119,712376,2026-02-10 22:28:58+08:00,2026-02-10 22:30:19+08:00,95.75,170,476,False,True,328,305,17,2,4,9.1,4.0,200.0,77,186,142,0,5.24534,Jump,False
Eyes Half Closed,Crywolf,Electronic,6198069321,894090,2026-02-10 22:30:53+08:00,2026-02-10 22:33:17+08:00,92.11,375,1450,False,False,1070,313,26,1,14,9.5,4.0,135.0,341,723,344,3,5.8755,Jump,False
Uso no Hibana,96neko,Anime,6198095257,1222417,2026-02-10 22:35:25+08:00,2026-02-10 22:39:06+08:00,98.65,1301,1313,False,True,887,868,15,2,2,9.0,4.0,188.0,209,504,382,1,5.10323,Jump,True
SHIORI -TV size mix-,ClariS,Anime,6198128162,1401254,2026-02-10 22:45:00+08:00,2026-02-10 22:46:33+08:00,95.67,314,470,False,True,300,277,20,,3,9.0,4.0,176.0,88,149,151,0,5.36092,Jump,False
pensamento tipico de esquerda caviar,Maffalda,Hip Hop,6198209280,422328,2026-02-10 23:02:26+08:00,2026-02-10 23:04:26+08:00,89.32,147,535,False,True,360,308,21,8,23,9.0,4.0,157.1,112,208,149,3,5.8496,Jump,True
Future Candy,YUC'e,Electronic,6198227294,1521481,2026-02-10 23:05:10+08:00,2026-02-10 23:08:23+08:00,94.19,368,1218,False,True,755,679,66,4,6,9.0,4.0,180.0,173,410,345,0,5.2298,Tech,True
Aresene's Bazaar,James Landino,Electronic,6198245121,4091822,2026-02-10 23:09:56+08:00,2026-02-10 23:12:26+08:00,80.82,181,1058,False,True,648,450,141,21,36,9.0,3.5,155.0,143,269,379,0,5.24267,Tech,True
Sunset Tea Cup,YUC'e,Electronic,6198271177,1347099,2026-02-10 23:15:20+08:00,2026-02-10 23:18:14+08:00,80.72,273,1241,False,True,698,489,159,16,34,9.3,4.2,160.0,168,282,416,0,5.89003,Tech,False
The 89's Momentum,MYUKKE.,Video Game,6198285614,3514465,2026-02-10 23:19:09+08:00,2026-02-10 23:21:26+08:00,79.06,190,871,False,True,550,358,158,13,21,9.2,4.0,128.0,133,302,247,1,5.18774,Tech,False
Newspapers for Magicians,Camellia,Electronic,6198331353,1970128,2026-02-10 23:26:54+08:00,2026-02-10 23:31:23+08:00,85.62,458,1898,False,True,1048,790,215,25,18,9.0,4.0,150.0,251,505,539,4,4.99846,Tech,True
Exit This Earth's Atomosphere,Camellia,Electronic,6198371728,917176,2026-02-10 23:34:38+08:00,2026-02-10 23:40:11+08:00,87.73,308,2195,False,True,1235,987,189,15,44,9.3,4.0,170.0,311,568,665,2,6.07172,Tech,False
CANDYYYLAND feat. LIZ (Pa's Lam System Remix),tofubeats,Electronic,6198425194,1418503,2026-02-10 23:48:17+08:00,2026-02-10 23:51:49+08:00,82.45,137,1181,False,True,744,550,137,15,42,9.3,4.0,160.0,188,337,401,6,6.06101,Tech,True
Cycle Hit,KASAI HARCORES,Electronic,6198459556,1351114,2026-02-10 23:54:01+08:00,2026-02-10 23:59:17+08:00,87.84,595,2375,False,True,1421,1152,217,9,43,9.5,3.8,175.0,301,777,643,1,6.02478,Tech,True
Omoide Kakera,nano,Rock,6201908659,991609,2026-02-11 16:30:19+08:00,2026-02-11 16:34:52+08:00,97.11,524,1502,False,True,875,830,34,2,9,9.0,4.0,200.0,253,336,535,4,5.05036,Stream,True
Itte.,Yorushika,Pop,6202921788,2061024,2026-02-11 21:45:30+08:00,2026-02-11 21:49:34+08:00,98.62,552,1091,False,True,731,715,11,,5,9.0,4.0,180.0,207,405,325,1,4.99609,Jump,True
Break Through,Nasko,Electronic,6202943818,1392016,2026-02-11 21:50:49+08:00,2026-02-11 21:54:44+08:00,94.32,523,1303,False,True,657,590,47,3,17,9.0,3.5,115.0,223,179,476,2,4.9786,Jump,False
Rubik's Cube,Hatsune Miku,Rock,6202962409,114635,2026-02-11 21:56:07+08:00,2026-02-11 21:59:00+08:00,95.55,342,1027,False,True,717,671,30,2,14,9.0,4.0,174.0,151,470,246,1,5.5304,Hybrid,True
We Won't Be Alone (feat. Laura Brehm),Feint,Electronic,6202973603,869142,2026-02-11 22:00:03+08:00,2026-02-11 22:01:38+08:00,95.74,110,450,False,True,349,330,9,1,9,9.0,4.3,175.0,88,257,90,2,5.36164,Jump,True
Prismatic Lollipops,DJ Mashiro,Video Game,6202984562,705059,2026-02-11 22:02:42+08:00,2026-02-11 22:04:12+08:00,92.72,252,588,False,True,479,427,42,,10,9.0,4.0,202.0,85,381,97,1,5.92593,Hybrid,True
30's Swing Tek,Floxytek vs Billx,Electronic,6202998789,169271,2026-02-11 22:05:12+08:00,2026-02-11 22:07:30+08:00,95.79,503,789,False,True,559,526,11,15,7,9.0,4.0,190.0,121,390,168,1,5.40539,Hybrid,True
The Pretender,Infected Mushroom,Rock,6203031451,221777,2026-02-11 22:08:47+08:00,2026-02-11 22:14:59+08:00,95.84,397,2388,False,True,1450,1359,64,3,24,9.0,4.0,174.0,364,854,593,3,5.78374,Hybrid,True
United (L.A.O.S Remix),Our Stolen Theory,Electronic,6203057649,550235,2026-02-11 22:15:31+08:00,2026-02-11 22:20:53+08:00,92.96,508,2275,False,True,1758,1572,139,27,20,9.2,4.0,175.0,300,1338,416,4,6.08624,Hybrid,True
Reizouko Mitara Pudding ga Nai,bibuko,Rock,6207975632,256839,2026-02-12 21:38:44+08:00,2026-02-12 21:40:45+08:00,93.09,165,841,False,True,637,576,37,3,21,9.0,4.0,190.0,113,447,189,1,5.77635,Stream,True
Shotgun Senorita (Zardonic Remix),Blue Stahli,Electronic,6207989690,192508,2026-02-12 21:41:52+08:00,2026-02-12 21:44:02+08:00,95.12,152,750,False,True,511,478,13,1,19,9.0,4.0,175.0,122,362,148,1,5.49398,Jump,False
Whatever I Do (feat. Kostja),Cartoon,Electronic,6208002899,815071,2026-02-12 21:45:22+08:00,2026-02-12 21:47:05+08:00,86.95,256,402,False,True,282,221,54,,7,9.2,4.2,174.0,93,190,89,3,5.14767,Jump,True
Night of Knights,beatMARIO,Video Game,6208025867,786018,2026-02-12 21:49:26+08:00,2026-02-12 21:52:21+08:00,95.56,178,1218,False,True,914,860,33,1,20,9.2,3.8,180.0,151,651,263,0,5.63019,Hybrid,True
Frame of Mind,Tristam & Braken,Electronic,6208038963,1093374,2026-02-12 21:53:35+08:00,2026-02-12 21:55:23+08:00,97.34,472,560,False,True,429,411,14,2,2,9.2,4.2,175.0,99,310,117,2,5.27058,Hybrid,True
Hatsune Miku no Shoushitsu,cosMo@BousouP feat.Hatsune Miku,Rock,6208068487,320127,2026-02-12 21:57:09+08:00,2026-02-12 22:02:11+08:00,89.14,274,1918,False,True,1104,909,150,12,33,9.2,4.0,240.0,208,584,519,1,6.02431,Stream,True
Hatsune Miku no Shoushitsu,cosMo@BousouP feat.Hatsune Miku,Rock,6208046485,321336,2026-02-12 21:56:28+08:00,2026-02-12 21:57:07+08:00,89.16,130,1756,False,False,848,110,18,3,4,9.0,4.0,240.0,206,432,414,2,5.79673,Stream,True
SAVE (Encore),DM DOKURO,Video Game,6208093607,916958,2026-02-12 22:05:37+08:00,2026-02-12 22:07:57+08:00,95.82,141,560,False,True,414,390,13,,11,9.2,4.0,180.0,117,279,134,1,5.27708,Jump,True
Anoko Secret,Eve,Rock,6208107391,1788240,2026-02-12 22:09:15+08:00,2026-02-12 22:11:02+08:00,94.2,238,643,False,True,458,414,35,6,3,9.0,4.0,160.0,100,276,180,2,4.81082,Jump,True
SAVE (Encore),DM DOKURO,Video Game,6208125148,916958,2026-02-12 22:12:40+08:00,2026-02-12 22:15:00+08:00,97.58,507,560,False,True,414,398,13,,3,9.2,4.0,180.0,117,279,134,1,5.27708,Jump,True
Chase Me,Dreamcatcher,Rock,6208142692,1258993,2026-02-12 22:15:46+08:00,2026-02-12 22:18:58+08:00,94.53,135,993,False,True,633,581,29,1,22,9.2,4.0,200.0,177,309,323,1,5.11762,Jump,False
Time Bomb (feat. Veela & Boyinaband),Feint,Electronic,6208162897,263368,2026-02-12 22:20:45+08:00,2026-02-12 22:23:25+08:00,95.92,762,762,True,True,493,455,38,,,9.0,4.0,175.0,144,240,252,1,4.60807,Hybrid,True
30's Swing Tek,Floxytek vs Billx,Electronic,6208178742,169271,2026-02-12 22:24:30+08:00,2026-02-12 22:26:48+08:00,97.48,568,789,False,True,559,536,20,,3,9.0,4.0,190.0,121,390,168,1,5.40539,Hybrid,True
The Pretender,Infected Mushroom,Rock,6208213033,221777,2026-02-12 22:28:53+08:00,2026-02-12 22:34:13+08:00,97.01,640,2388,False,False,1450,1086,32,2,17,9.0,4.0,174.0,364,854,593,3,5.78374,Hybrid,True
This Will Be the Day (feat. Casey Lee Williams),Jeff Williams,Anime,6208239654,302238,2026-02-12 22:36:56+08:00,2026-02-12 22:40:00+08:00,94.15,297,1106,False,True,691,621,58,6,6,9.0,4.0,190.0,177,395,293,3,5.48709,Hybrid,True
Lost Time Memory,Jin,Rock,6208264690,385856,2026-02-12 22:40:43+08:00,2026-02-12 22:45:25+08:00,91.93,308,1460,False,True,958,835,87,2,34,9.0,4.0,210.0,248,496,458,4,6.04299,Hybrid,False
Calamity Fortune,LeaF,Video Game,6208291352,261725,2026-02-12 22:48:49+08:00,2026-02-12 22:51:06+08:00,96.48,342,987,False,True,628,591,29,2,6,9.0,4.0,200.0,129,360,267,1,5.29945,Stream,True
Rubik's Cube,Hatsune Miku,Rock,6208341072,114635,2026-02-12 22:58:42+08:00,2026-02-12 23:01:35+08:00,96.18,338,1027,False,True,717,678,27,1,11,9.0,4.0,174.0,151,470,246,1,5.5304,Hybrid,True
Hold Your Colour,Pendulum,Electronic,6208377029,1485947,2026-02-12 23:03:42+08:00,2026-02-12 23:09:10+08:00,92.34,279,1705,False,True,1253,1105,110,7,31,9.2,4.0,174.0,292,898,353,2,5.72349,Stream,False
Hysteric Night Girl -Awakening- (feat. Such),PSYQUI,Electronic,6208396181,3102956,2026-02-12 23:09:57+08:00,2026-02-12 23:13:11+08:00,91.29,342,1250,False,True,751,650,79,6,16,9.0,3.5,160.0,179,278,471,2,5.05827,Tech,False
me & u,succducc,Pop,6208420406,1498091,2026-02-12 23:15:20+08:00,2026-02-12 23:18:13+08:00,87.43,171,1220,False,True,800,636,138,7,19,9.2,4.0,160.0,163,440,359,1,5.34591,Tech,True
